indice_tiempo,total_horas_vistas
2015-11-01,69756
2015-12-01,221281
2016-01-01,126343
2016-02-01,80314
2016-03-01,57405
2016-04-01,47148
2016-05-01,40457
2016-06-01,34752
2016-07-01,81265
2016-08-01,73442
2016-09-01,80486
2016-10-01,90592
2016-11-01,104103
2016-12-01,94791
2017-01-01,114797
2017-02-01,110555
2017-03-01,93198
2017-04-01,94527
2017-05-01,93394
2017-06-01,109571
2017-07-01,114673
2017-08-01,124170
2017-09-01,119026
2017-10-01,126410
2017-11-01,101056
2017-12-01,91358
2018-01-01,99037
2018-02-01,82548
2018-03-01,65309
2018-04-01,75273
2018-05-01,79800
2018-06-01,77176
2018-07-01,75666
2018-08-01,82163
2018-09-01,85857
2018-10-01,69674
2018-11-01,74983
2018-12-01,74749
2019-01-01,69802
2019-02-01,67236
2019-03-01,71364
2019-04-01,98106
2019-05-01,75590
2019-06-01,55560
2019-07-01,79520
2019-08-01,75597
2019-09-01,72433
2019-10-01,71848
2019-11-01,57226
2019-12-01,48084
2020-01-01,48414
2020-02-01,54503
2020-03-01,129884
2020-04-01,186830
2020-05-01,185980
2020-06-01,148516
2020-07-01,185415
2020-08-01,160587
2020-09-01,115361
2020-10-01,118131
2020-11-01,108503
2020-12-01,93333
2021-01-01,88287
2021-02-01,84054
2021-03-01,75630
2021-04-01,80388
2021-05-01,91003
2021-06-01,97062
2021-07-01,88822
2021-08-01,86339
2021-09-01,97806
2021-10-01,81698
2021-11-01,82288
2021-12-01,66044
2022-01-01,87690
2022-02-01,62284
2022-03-01,67872
2022-04-01,65915
2022-05-01,67146
2022-06-01,78145
